4/12/2022 5:30:09 PM
Time,Path,Invisibility,x_pos,y_pos,z_pos,target_x,target_y,target_z,target_visible
0.02056885,0,1,-2.687741,1.425557,-2.42317,-3,0,3,True
0.1308365,0,1,-2.67848,1.421345,-2.413649,-2.912582,0,2.991258,True
0.2534561,0,1,-2.668711,1.419455,-2.399307,-2.816662,0,2.981666,True
0.3651962,0,1,-2.665234,1.41661,-2.378702,-2.727427,0,2.972743,True
0.4760284,0,1,-2.66671,1.410723,-2.341624,-2.640003,0,2.964,True
0.5852737,0,1,-2.671435,1.402353,-2.28627,-2.551389,0,2.955139,True
0.6855698,0,1,-2.680978,1.393981,-2.224055,-2.480417,0,2.948042,True
0.7988892,0,1,-2.699818,1.382982,-2.141003,-2.38392,0,2.938392,True
0.8990936,0,1,-2.726737,1.390471,-2.050505,-2.304002,0,2.9304,True
1.00563,0,1,-2.758785,1.414557,-1.953757,-2.213736,0,2.921374,True
1.11898,0,1,-2.790513,1.41909,-1.839548,-2.123512,0,2.912351,True
1.230759,0,1,-2.812403,1.41465,-1.731207,-2.039246,0,2.903925,True
1.332268,0,1,-2.828883,1.396788,-1.622977,-1.950504,0,2.895051,True
1.44249,0,1,-2.84424,1.383482,-1.490948,-1.869718,0,2.886972,True
1.552368,0,1,-2.84992,1.406852,-1.351756,-1.782361,0,2.878236,True
1.662857,0,1,-2.856109,1.428836,-1.211894,-1.692854,0,2.869285,True
1.774727,0,1,-2.867501,1.427446,-1.07678,-1.603796,0,2.86038,True
1.89711,0,1,-2.88519,1.405297,-0.9211098,-1.507997,0,2.8508,True
2.008835,0,1,-2.911087,1.386688,-0.7823626,-1.420208,0,2.842021,True
2.129463,0,1,-2.938571,1.406133,-0.6273433,-1.321585,0,2.832159,True
2.241333,0,1,-2.945749,1.428228,-0.4874226,-1.232509,0,2.823251,True
2.343803,0,1,-2.943968,1.424869,-0.3580142,-1.144703,0,2.81447,True
2.46273,0,1,-2.933387,1.392638,-0.1968042,-1.057819,0,2.805782,True
2.586761,0,1,-2.911405,1.387455,-0.03649582,-0.9608358,0,2.796084,True
2.707619,0,1,-2.893373,1.417117,0.1143769,-0.8623888,0,2.786239,True
