5/3/2022 6:14:23 PM
Time,Path,Invisibility,x_pos,y_pos,z_pos,target_x,target_y,target_z,target_visible
0.02032852,0,1,-3.049728,1.611111,-0.8069265,-4.039,0,3.6,True
0.1233864,0,1,-3.050024,1.610858,-0.8075905,-3.95065,0,3.591165,True
0.2344894,0,1,-3.050079,1.611443,-0.8081286,-3.861607,0,3.582261,True
0.3551216,0,1,-3.050214,1.611705,-0.8084435,-3.774699,0,3.57357,True
0.4776192,0,1,-3.051178,1.611688,-0.8066456,-3.677072,0,3.563807,True
0.5781059,0,1,-3.052093,1.610821,-0.8040857,-3.58891,0,3.554991,True
0.6891212,0,1,-3.052961,1.610245,-0.8012283,-3.507146,0,3.546814,True
0.8008003,0,1,-3.053848,1.609761,-0.7996631,-3.412702,0,3.53737,True
0.9103775,0,1,-3.055166,1.609805,-0.7979717,-3.333197,0,3.52942,True
1.023048,0,1,-3.056777,1.609463,-0.7964706,-3.240076,0,3.520108,True
1.133667,0,1,-3.058285,1.609383,-0.7952435,-3.153788,0,3.511479,True
1.244057,0,1,-3.060133,1.609725,-0.7928319,-3.065079,0,3.502608,True
1.353703,0,1,-3.061382,1.608986,-0.789223,-2.977504,0,3.49385,True
1.454494,0,1,-3.061294,1.608437,-0.7834063,-2.898603,0,3.48596,True
1.565159,0,1,-3.057408,1.607575,-0.7726114,-2.810326,0,3.477133,True
1.677021,0,1,-3.049644,1.605196,-0.7612612,-2.721705,0,3.468271,True
1.787079,0,1,-3.030734,1.606809,-0.7435489,-2.640598,0,3.46016,True
1.887661,0,1,-2.997876,1.606652,-0.7189829,-2.553611,0,3.451461,True
1.998409,0,1,-2.9417,1.600863,-0.6840456,-2.46612,0,3.442712,True
2.122177,0,1,-2.853678,1.586772,-0.6423123,-2.368748,0,3.432975,True
2.231834,0,1,-2.759289,1.575787,-0.6071393,-2.279903,0,3.42409,True
2.342197,0,1,-2.665358,1.583726,-0.570518,-2.192934,0,3.415393,True
2.453098,0,1,-2.577569,1.596067,-0.5201969,-2.104648,0,3.406565,True
2.555691,0,1,-2.503927,1.594099,-0.465915,-2.015037,0,3.397604,True
2.666451,0,1,-2.421727,1.584523,-0.396222,-1.927391,0,3.388839,True
2.772846,0,1,-2.347423,1.571206,-0.3242474,-1.845913,0,3.380691,True
2.885902,0,1,-2.256711,1.575167,-0.2247784,-1.756269,0,3.371727,True
2.988632,0,1,-2.176864,1.593196,-0.14591,-1.669279,0,3.363028,True
3.111435,0,1,-2.070712,1.607114,-0.06821872,-1.581904,0,3.35429,True
3.221352,0,1,-1.963087,1.598768,0.001026497,-1.492394,0,3.345339,True
3.323769,0,1,-1.85911,1.57945,0.06160019,-1.402634,0,3.336363,True
3.442963,0,1,-1.728034,1.57917,0.1333322,-1.315225,0,3.327622,True
3.565773,0,1,-1.603994,1.602944,0.21816,-1.218913,0,3.317991,True
3.677055,0,1,-1.5051,1.606744,0.3022209,-1.13015,0,3.309115,True
3.777073,0,1,-1.414261,1.586092,0.383595,-1.048632,0,3.300963,True
3.888958,0,1,-1.311368,1.560667,0.4844118,-0.9533827,0,3.291438,True
3.999771,0,1,-1.208577,1.567892,0.5932997,-0.8637176,0,3.282472,True
4.110161,0,1,-1.104066,1.590191,0.6888511,-0.7858468,0,3.274685,True
4.211773,0,1,-1.006333,1.597613,0.7660282,-0.6970137,0,3.265801,True
4.31966,0,1,-0.8884487,1.580293,0.8534212,-0.6183107,0,3.257931,True
4.422905,0,1,-0.7766414,1.55674,0.9297673,-0.5293745,0,3.249037,True
4.529678,0,1,-0.6610532,1.558417,1.004554,-0.448221,0,3.240922,True
4.632801,0,1,-0.5449357,1.583923,1.087235,-0.3711943,0,3.233219,True
4.753368,0,1,-0.4300084,1.591069,1.177329,-0.2729902,0,3.223399,True
4.85479,0,1,-0.3331494,1.572379,1.256342,-0.1940687,0,3.215507,True
4.964321,0,1,-0.2269053,1.552651,1.349268,-0.102943,0,3.206394,True
5.074703,0,1,-0.1194119,1.564736,1.444408,-0.01587418,0,3.197687,True
5.175457,0,1,-0.01755285,1.587172,1.522409,0.0643592,0,3.189664,True
5.276134,0,1,0.08628178,1.590387,1.596501,0.1435753,0,3.181742,True
5.37735,0,1,0.195394,1.567712,1.670808,0.2320349,0,3.172896,True
