Time, Path, Visible, Target
32.23973,0,1,Rabbit
32.77362,0,1,Rabbit
33.08641,0,1,Rabbit
33.2968,0,1,Rabbit
33.49635,0,1,Rabbit
33.81879,0,1,Rabbit
34.09664,0,1,Rabbit
34.39769,0,1,Rabbit
34.56235,0,1,Rabbit
0.6681328,0,1,Rabbit
0.8217697,0,1,Rabbit
1.865997,0,1,Rabbit
1.865997,0,1,NorthBlock
2.52253,0,1,Rabbit
2.729172,0,1,Rabbit
3.009171,0,1,Rabbit
3.166412,0,1,Rabbit
3.311893,0,1,NorthBlock
3.999771,0,1,NorthBlock
3.999771,0,1,Rabbit
4.607624,0,1,Rabbit
4.909744,0,1,Rabbit
4.909744,0,1,NorthBlock
5.098717,0,1,Rabbit
5.276134,0,1,Rabbit
6.908859,0,2,Rabbit
6.930569,0,2,NorthBlock
7.463566,0,2,NorthBlock
7.709251,0,2,NorthBlock
7.905205,0,2,NorthBlock
8.582985,0,2,NorthBlock
8.708527,0,2,Rabbit
9.028301,0,2,Rabbit
14.28264,0,2,Rabbit
15.6242,0,2,Rabbit
15.79035,0,2,Rabbit
16.10254,0,2,Rabbit
16.37064,0,2,Rabbit
0.06776047,0,2,Rabbit
0.6319046,0,2,Rabbit
0.9644203,0,2,Rabbit
1.133984,0,2,Rabbit
1.46619,0,2,Rabbit
1.741238,0,2,NorthBlock
2.066284,0,2,Rabbit
2.450851,0,2,Rabbit
2.474953,0,2,NorthBlock
2.774799,0,2,Rabbit
2.842255,0,2,NorthBlock
5.828003,0,2,NorthBlock
7.138237,0,3,NorthBlock
7.298523,0,3,NorthBlock
8.296379,0,3,NorthBlock
8.463238,0,3,NorthBlock
14.44437,0,3,Rabbit
14.71323,0,3,Rabbit
14.89896,0,3,Rabbit
15.23776,0,3,Rabbit
15.53456,0,3,Rabbit
15.75694,0,3,Rabbit
0.1555481,0,3,Rabbit
0.9897003,0,3,Rabbit
1.165573,0,3,Rabbit
1.499443,0,3,Rabbit
1.632713,0,3,NorthBlock
1.876259,0,3,NorthBlock
2.123108,0,3,Rabbit
2.177727,0,3,NorthBlock
2.77607,0,3,NorthBlock
2.77607,0,3,Rabbit
3.063934,0,3,Rabbit
3.063934,0,3,NorthBlock
7.508751,1,3,NorthBlock
7.673798,1,3,NorthBlock
8.096931,1,3,NorthBlock
