4/18/2022 8:20:23 AM
Time,Path,Invisibility,x_pos,y_pos,z_pos,target_x,target_y,target_z,target_visible
0.02229309,0,1,-2.638678,1.578467,-2.979597,-3,0,3,True
0.01824188,0,1,-2.638102,1.580194,-2.980822,-3,0,3,True
0.01296997,0,1,-2.636469,1.579061,-2.980292,-3,0,3,True
0.02121735,0,1,-2.635015,1.579488,-2.97973,-3,0,3,True
0.01918793,0,1,-2.630823,1.579917,-2.974565,-3,0,3,True
0.02259827,0,1,-2.622524,1.577352,-2.965103,-3,0,3,True
0.02199554,0,1,-2.609362,1.574941,-2.949305,-3,0,3,True
0.02310181,0,1,-2.595352,1.569148,-2.927495,-3,0,3,True
0.02324677,0,1,-2.583414,1.551185,-2.893045,-3,0,3,True
0.01364136,0,1,-2.581812,1.5349,-2.854196,-3,0,3,True
0.02143097,0,1,-2.588339,1.516668,-2.796348,-3,0,3,True
0.01930237,0,1,-2.597844,1.503636,-2.73959,-3,0,3,True
0.02294922,0,1,-2.610166,1.495692,-2.656623,-3,0,3,True
0.01454163,0,1,-2.618193,1.519682,-2.586066,-3,0,3,True
0.01933289,0,1,-2.617783,1.541445,-2.505879,-3,0,3,True
0.02326202,0,1,-2.610771,1.549752,-2.42268,-3,0,3,True
0.01390076,0,1,-2.602438,1.549303,-2.350746,-3,0,3,True
0.01944733,0,1,-2.588004,1.538316,-2.270176,-3,0,3,True
0.02063751,0,1,-2.566923,1.555427,-2.178166,-3,0,3,True
0.02035522,0,1,-2.551424,1.566757,-2.096138,-3,0,3,True
0.02410126,0,1,-2.544335,1.565477,-2.014073,-3,0,3,True
0.02166748,0,1,-2.541268,1.557557,-1.927642,-3,0,3,True
0.01262665,0,1,-2.541396,1.544139,-1.834933,-3,0,3,True
0.1227036,0,1,-2.544692,1.53523,-1.737107,-2.920811,0,2.992081,True
0.2317276,0,1,-2.545613,1.555924,-1.637838,-2.830393,0,2.983039,True
0.3424988,0,1,-2.536311,1.570288,-1.543499,-2.741852,0,2.974185,True
0.4549179,0,1,-2.521486,1.570123,-1.453461,-2.655375,0,2.965538,True
0.5558777,0,1,-2.502201,1.559023,-1.367061,-2.574486,0,2.957448,True
0.6561737,0,1,-2.476705,1.543948,-1.274339,-2.49735,0,2.949735,True
0.765419,0,1,-2.437143,1.537851,-1.161531,-2.408073,0,2.940807,True
0.877449,0,1,-2.391079,1.554749,-1.052239,-2.311788,0,2.931179,True
0.9784927,0,1,-2.350562,1.566468,-0.9536587,-2.232691,0,2.923269,True
1.089058,0,1,-2.305272,1.565719,-0.8468338,-2.142133,0,2.914213,True
1.211418,0,1,-2.252042,1.548044,-0.7216655,-2.056008,0,2.905601,True
1.320709,0,1,-2.202868,1.531412,-0.6070958,-1.964904,0,2.89649,True
1.43177,0,1,-2.152724,1.557645,-0.4955317,-1.875014,0,2.887501,True
1.533028,0,1,-2.101134,1.575611,-0.4049813,-1.798692,0,2.879869,True
1.653618,0,1,-2.034539,1.574599,-0.3011204,-1.700135,0,2.870013,True
1.766548,0,1,-1.968801,1.558127,-0.2045738,-1.61095,0,2.861095,True
1.866913,0,1,-1.900964,1.542624,-0.1177856,-1.524862,0,2.852486,True
1.97789,0,1,-1.815671,1.549932,-0.02374138,-1.435713,0,2.843571,True
2.087944,0,1,-1.731937,1.564842,0.06216608,-1.355808,0,2.835581,True
2.198463,0,1,-1.650149,1.571587,0.1502727,-1.266058,0,2.826606,True
2.308548,0,1,-1.567643,1.558708,0.2401227,-1.188928,0,2.818893,True
2.409355,0,1,-1.491082,1.538945,0.3256038,-1.099809,0,2.809981,True
2.52076,0,1,-1.406484,1.531909,0.4220022,-1.011511,0,2.801151,True
2.629578,0,1,-1.319099,1.559717,0.5165099,-0.9228477,0,2.792285,True
2.74379,0,1,-1.225246,1.57359,0.6039485,-0.8346888,0,2.783469,True
2.864052,0,1,-1.11966,1.56108,0.6972541,-0.738331,0,2.773833,True
2.974892,0,1,-1.029407,1.537107,0.7757739,-0.6486295,0,2.764863,True
3.077751,0,1,-0.9270225,1.52405,0.8647312,-0.5602944,0,2.756029,True
3.188789,0,1,-0.8266768,1.548435,0.9547905,-0.4713582,0,2.747136,True
3.298149,0,1,-0.7228603,1.558071,1.049741,-0.3903292,0,2.739033,True
3.410858,0,1,-0.6355982,1.550382,1.142245,-0.2952043,0,2.72952,True
3.521553,0,1,-0.5431514,1.526555,1.240427,-0.2141206,0,2.721412,True
3.632362,0,1,-0.4496164,1.511108,1.341684,-0.1272857,0,2.712729,True
3.753593,0,1,-0.3431091,1.540704,1.454908,-0.03025375,0,2.703025,True
3.862946,0,1,-0.2421389,1.549985,1.548237,0.05729786,0,2.69427,True
3.963661,0,1,-0.1533642,1.540638,1.628163,0.1374523,0,2.686255,True
4.064186,0,1,-0.06227875,1.517904,1.710204,0.2178496,0,2.678215,True
4.17585,0,1,0.04085064,1.496916,1.801473,0.3047878,0,2.669521,True
4.284851,0,1,0.1463223,1.514192,1.892988,0.3959834,0,2.660402,True
4.3992,0,1,0.240314,1.532489,1.982958,0.4843245,0,2.651567,True
4.508888,0,1,0.3266654,1.527298,2.068753,0.5701513,0,2.642985,True
4.618851,0,1,0.4136052,1.501752,2.157907,0.6602112,0,2.633979,True
4.721344,0,1,0.4996834,1.483632,2.249926,0.7488014,0,2.62512,True
0.02368927,0,2,-2.647782,1.591084,-2.928738,-3,0,3,True
0.02449036,0,2,-2.644362,1.591244,-2.926049,-3,0,3,True
0.02159119,0,2,-2.640078,1.590892,-2.92168,-3,0,3,True
0.02444458,0,2,-2.635642,1.589955,-2.917114,-3,0,3,True
0.01233673,0,2,-2.63075,1.588896,-2.91133,-3,0,3,True
0.02389526,0,2,-2.623086,1.587786,-2.902011,-3,0,3,True
0.02307129,0,2,-2.613663,1.586108,-2.88996,-3,0,3,True
0.01364899,0,2,-2.605352,1.585652,-2.876507,-3,0,3,True
0.02307129,0,2,-2.598483,1.582932,-2.863712,-3,0,3,True
0.02336121,0,2,-2.590655,1.578975,-2.850037,-3,0,3,True
0.02169037,0,2,-2.581576,1.577462,-2.833001,-3,0,3,True
0.02312469,0,2,-2.572091,1.574137,-2.814717,-3,0,3,True
0.02068329,0,2,-2.56278,1.568159,-2.791188,-3,0,3,True
0.02240753,0,2,-2.557225,1.560022,-2.753793,-3,0,3,True
0.01934814,0,2,-2.557174,1.551596,-2.70908,-3,0,3,True
0.01941681,0,2,-2.560802,1.538257,-2.634884,-3,0,3,True
0.02366638,0,2,-2.567423,1.521425,-2.542134,-3,0,3,True
0.02180481,0,2,-2.574641,1.53278,-2.428272,-3,0,3,True
0.02037811,0,2,-2.574895,1.555241,-2.323646,-3,0,3,True
0.02441406,0,2,-2.563908,1.563867,-2.211235,-3,0,3,True
