Time, Path, Visible, Target
109.4083,0,1,Rabbit
109.6859,0,1,Rabbit
109.8746,0,1,Rabbit
110.1558,0,1,Rabbit
110.6068,0,1,Rabbit
110.9972,0,1,Rabbit
111.2729,0,1,Rabbit
111.4969,0,1,Rabbit
111.6826,0,1,Rabbit
112.3491,0,1,Rabbit
113.3389,0,1,Rabbit
0.3893814,0,1,Rabbit
0.5644989,0,1,Rabbit
1.165512,0,1,Rabbit
1.697739,0,1,Rabbit
1.776817,0,1,NorthBlock
1.93187,0,1,NorthBlock
2.053673,0,1,Rabbit
2.152946,0,1,NorthBlock
2.256874,0,1,Rabbit
2.55481,0,1,Rabbit
2.764145,0,1,Rabbit
3.130829,0,1,Rabbit
3.676247,0,1,NorthBlock
3.788933,0,1,Rabbit
3.929619,0,1,NorthBlock
8.196594,0,1,NorthBlock
8.196594,0,1,Rabbit
8.529022,0,1,Rabbit
8.529022,0,1,NorthBlock
8.829056,0,1,NorthBlock
8.829056,0,1,Rabbit
9.117554,0,1,NorthBlock
9.117554,0,1,Rabbit
9.593941,0,1,Rabbit
9.749146,0,1,NorthBlock
10.31604,0,1,NorthBlock
10.33044,0,1,Rabbit
11.41541,0,2,NorthBlock
11.61713,0,2,NorthBlock
12.37349,0,2,NorthBlock
12.91515,0,2,NorthBlock
14.33955,0,2,NorthBlock
14.58129,0,2,Rabbit
17.17063,0,2,Rabbit
17.59051,0,2,Rabbit
17.79212,0,2,Rabbit
25.56722,0,2,Rabbit
25.86526,0,2,Rabbit
26.18803,0,2,Rabbit
26.36376,0,2,Rabbit
0.663269,0,2,Rabbit
1.663589,0,2,Rabbit
1.663589,0,2,NorthBlock
2.540558,0,2,NorthBlock
2.740631,0,2,NorthBlock
2.763153,0,2,Rabbit
2.930054,0,2,NorthBlock
3.818008,0,2,NorthBlock
3.818008,0,2,Rabbit
4.452011,0,2,Rabbit
4.942062,0,2,Rabbit
4.942062,0,2,NorthBlock
5.79631,0,2,NorthBlock
7.417694,0,2,NorthBlock
7.417694,0,2,Rabbit
7.593994,0,2,Rabbit
7.593994,0,2,NorthBlock
8.028,0,2,NorthBlock
8.028,0,2,Rabbit
8.438141,0,2,Rabbit
8.438141,0,2,NorthBlock
8.695023,0,2,Rabbit
8.817581,0,2,NorthBlock
8.974136,0,2,NorthBlock
8.974136,0,2,Rabbit
9.160965,0,2,NorthBlock
9.160965,0,2,Rabbit
9.572296,0,2,Rabbit
10.08141,0,2,Rabbit
10.38107,0,3,Rabbit
10.43817,0,3,NorthBlock
10.6617,0,3,NorthBlock
11.82864,0,3,NorthBlock
12.02579,0,3,NorthBlock
12.44904,0,3,NorthBlock
13.49315,0,3,NorthBlock
14.51598,0,3,NorthBlock
14.71251,0,3,Rabbit
15.4689,0,3,Rabbit
15.92384,0,3,Rabbit
16.20345,0,3,Rabbit
21.37617,0,3,NorthBlock
22.41129,0,3,NorthBlock
23.13225,0,3,NorthBlock
23.32303,0,3,NorthBlock
23.48972,0,3,NorthBlock
0.2222443,0,3,Rabbit
0.489212,0,3,Rabbit
1.232208,0,3,Rabbit
1.447159,0,3,Rabbit
1.623901,0,3,Rabbit
1.623901,0,3,NorthBlock
1.778488,0,3,Rabbit
1.834442,0,3,NorthBlock
2.464981,0,3,Rabbit
2.656647,0,3,NorthBlock
2.799835,0,3,NorthBlock
2.888229,0,3,Rabbit
3.043991,0,3,Rabbit
3.043991,0,3,NorthBlock
6.965103,1,2,NorthBlock
7.13652,1,2,NorthBlock
7.317825,1,2,NorthBlock
9.432449,1,2,NorthBlock
9.597916,1,2,SouthBlock
9.885895,1,2,SouthBlock
10.07306,1,2,SouthBlock
17.04872,1,2,Rabbit
17.34837,1,2,Rabbit
0.3658905,1,2,Rabbit
1.100143,1,2,Rabbit
1.44104,1,2,Rabbit
1.62265,1,2,Rabbit
1.821243,1,2,Rabbit
2.078476,1,2,NorthBlock
2.453888,1,2,NorthBlock
2.765793,1,2,NorthBlock
2.765793,1,2,Rabbit
3.231094,1,2,Rabbit
3.388138,1,2,Rabbit
3.563797,1,2,Rabbit
3.876511,1,2,Rabbit
4.608322,1,2,Rabbit
5.030991,1,2,Rabbit
5.632034,2,2,NorthBlock
5.864182,2,2,Rabbit
6.885941,2,2,Rabbit
13.23669,2,2,NorthBlock
13.42238,2,2,NorthBlock
13.81897,2,2,NorthBlock
13.99731,2,2,NorthBlock
15.05251,2,2,Rabbit
15.79732,2,2,Rabbit
16.14063,2,2,Rabbit
0.4860535,2,2,Rabbit
0.9217224,2,2,Rabbit
1.507629,2,2,Rabbit
1.887848,2,2,Rabbit
1.933487,2,2,NorthBlock
2.186035,2,2,Rabbit
2.374359,2,2,Rabbit
2.374359,2,2,NorthBlock
2.854507,2,2,NorthBlock
2.854507,2,2,Rabbit
3.464523,2,2,Rabbit
3.640854,2,2,Rabbit
4.151199,2,2,NorthBlock
4.320251,2,2,Rabbit
0.676651,2,2,Rabbit
0.6995544,2,2,NorthBlock
1.664047,2,2,NorthBlock
2.164886,2,2,NorthBlock
2.32019,2,2,NorthBlock
2.642517,2,2,NorthBlock
3.232361,2,2,NorthBlock
3.697983,2,2,NorthBlock
3.697983,2,2,Rabbit
3.909454,2,2,Rabbit
3.943558,2,2,NorthBlock
4.199295,2,2,Rabbit
4.199295,2,2,NorthBlock
0.1223907,2,2,Rabbit
0.2996063,2,2,Rabbit
0.3684387,2,2,NorthBlock
1.023422,2,2,NorthBlock
1.023422,2,2,Rabbit
1.549515,2,2,Rabbit
1.549515,2,2,NorthBlock
1.879028,2,2,NorthBlock
1.879028,2,2,Rabbit
2.187515,2,2,NorthBlock
2.187515,2,2,Rabbit
4.600143,1,3,NorthBlock
0.1215668,1,3,Rabbit
0.5200806,1,3,Rabbit
1.052917,1,3,Rabbit
1.442123,1,3,Rabbit
1.974747,1,3,NorthBlock
2.299225,1,3,NorthBlock
2.364166,1,3,Rabbit
2.608246,1,3,Rabbit
2.608246,1,3,NorthBlock
2.787125,1,3,NorthBlock
2.810211,1,3,Rabbit
3.066116,1,3,Rabbit
3.066116,1,3,NorthBlock
3.275223,1,3,Rabbit
3.275223,1,3,NorthBlock
3.508133,1,3,Rabbit
3.72197,1,3,Rabbit
3.996063,1,3,Rabbit
4.32106,1,3,Rabbit
4.564194,1,3,Rabbit
4.933487,1,3,NorthBlock
5.140442,1,3,NorthBlock
7.072052,2,2,NorthBlock
7.485397,2,2,SouthBlock
8.092819,2,2,SouthBlock
16.15761,2,2,Rabbit
17.01167,2,2,Rabbit
