5/13/2022 2:17:31 PM
Time,Path,Invisibility,x_pos,y_pos,z_pos,target_x,target_y,target_z,target_visible
0.02308273,0,1,-2.250579,1.410275,-0.8346571,-4.039,0,3.6,True
0.1432762,0,1,-2.256207,1.41089,-0.8347486,-3.946851,0,3.590785,True
0.2435913,0,1,-2.258608,1.41103,-0.8369054,-3.862867,0,3.582387,True
0.3659039,0,1,-2.260078,1.41162,-0.8398403,-3.76588,0,3.572688,True
0.466465,0,1,-2.260527,1.412125,-0.8404816,-3.68376,0,3.564476,True
0.5668678,0,1,-2.260601,1.41111,-0.8396555,-3.596985,0,3.555798,True
0.6879082,0,1,-2.260973,1.410431,-0.837525,-3.509659,0,3.547066,True
0.7888374,0,1,-2.26159,1.410511,-0.8344899,-3.4299,0,3.53909,True
0.8986721,0,1,-2.261256,1.41037,-0.8314019,-3.340878,0,3.530188,True
1.001247,0,1,-2.260945,1.410784,-0.8293508,-3.25203,0,3.521303,True
1.122219,0,1,-2.260445,1.412051,-0.8278018,-3.163083,0,3.512408,True
1.222481,0,1,-2.260944,1.412899,-0.8251132,-3.076564,0,3.503756,True
1.330809,0,1,-2.263262,1.41287,-0.8199044,-2.995119,0,3.495612,True
1.443388,0,1,-2.267836,1.41358,-0.8098086,-2.906131,0,3.486713,True
1.543535,0,1,-2.274836,1.412676,-0.799384,-2.825857,0,3.478686,True
1.663542,0,1,-2.286276,1.410547,-0.7886637,-2.740906,0,3.470191,True
1.764515,0,1,-2.298143,1.401605,-0.7809128,-2.653148,0,3.461415,True
1.86515,0,1,-2.300289,1.399019,-0.777064,-2.572958,0,3.453396,True
1.977303,0,1,-2.283672,1.396086,-0.7658497,-2.483893,0,3.444489,True
2.077877,0,1,-2.248647,1.39503,-0.7398506,-2.395295,0,3.435629,True
2.199623,0,1,-2.176406,1.392578,-0.688665,-2.306728,0,3.426773,True
2.311518,0,1,-2.090019,1.384668,-0.6305355,-2.208752,0,3.416975,True
2.421297,0,1,-1.995876,1.389303,-0.5586315,-2.128957,0,3.408996,True
2.530891,0,1,-1.925428,1.392139,-0.4940656,-2.04088,0,3.400188,True
2.631462,0,1,-1.869041,1.390719,-0.4220535,-1.962387,0,3.392339,True
