Time, Path, Visible, Target
130.1427,0,1,Rabbit
130.4767,0,1,Rabbit
130.8544,0,1,Rabbit
0.3738403,0,1,Rabbit
0.5988464,0,1,Rabbit
0.7853699,0,1,Rabbit
1.375916,0,1,Rabbit
1.484924,0,1,NorthBlock
1.851425,0,1,NorthBlock
2.084274,0,1,NorthBlock
2.409561,0,1,NorthBlock
2.585449,0,1,Rabbit
2.773499,0,1,Rabbit
2.974457,0,1,Rabbit
3.128235,0,1,NorthBlock
3.197128,0,1,Rabbit
3.472336,0,1,NorthBlock
3.530884,0,1,Rabbit
3.640854,0,1,NorthBlock
5.183975,0,1,NorthBlock
5.441177,0,1,NorthBlock
5.763382,0,1,NorthBlock
5.763382,0,1,Rabbit
6.194489,0,1,NorthBlock
6.404922,0,1,NorthBlock
6.447418,0,1,Rabbit
6.727905,0,1,NorthBlock
7.148514,0,1,NorthBlock
7.336929,0,1,NorthBlock
7.695786,0,1,NorthBlock
7.916428,0,1,NorthBlock
8.228073,0,1,NorthBlock
8.45874,0,1,NorthBlock
9.017242,0,1,NorthBlock
9.225403,0,1,NorthBlock
9.558838,0,1,NorthBlock
9.558838,0,1,Rabbit
10.07098,0,1,Rabbit
10.23926,0,1,Rabbit
10.42206,0,2,NorthBlock
10.7813,0,2,NorthBlock
12.54524,0,2,NorthBlock
12.90213,0,2,NorthBlock
14.59238,0,2,Rabbit
15.60162,0,2,SouthBlock
16.03299,0,2,SouthBlock
22.68948,0,2,Rabbit
22.96989,0,2,Rabbit
23.2406,0,2,NorthBlock
23.54089,0,2,NorthBlock
23.78548,0,2,Rabbit
23.99474,0,2,Rabbit
24.61818,0,2,Rabbit
0.5220795,0,2,Rabbit
0.8878479,0,2,Rabbit
1.145813,0,2,Rabbit
1.356979,0,2,Rabbit
1.866684,0,2,Rabbit
2.068298,0,2,NorthBlock
2.088272,0,2,Rabbit
2.244339,0,2,NorthBlock
2.320572,0,2,Rabbit
2.388657,0,2,NorthBlock
2.721725,0,2,NorthBlock
2.721725,0,2,Rabbit
3.06517,0,2,Rabbit
3.06517,0,2,NorthBlock
3.575592,0,2,Rabbit
