Time, Path, Visible, Target
0.02170563,0,1,Rabbit
0.02198792,0,1,Rabbit
0.01872253,0,1,Rabbit
0.01933289,0,1,Rabbit
0.01944733,0,1,Rabbit
0.02213287,0,1,Rabbit
0.7119217,0,1,Rabbit
0.7119217,0,1,NorthBlock
1.400032,0,1,NorthBlock
1.400032,0,1,Rabbit
2.042007,0,1,Rabbit
2.065491,0,1,NorthBlock
2.387085,0,1,NorthBlock
2.387085,0,1,Rabbit
3.01976,0,1,Rabbit
3.252991,0,1,Rabbit
3.431175,0,1,Rabbit
3.445236,0,1,NorthBlock
3.608803,0,1,NorthBlock
3.632362,0,1,Rabbit
4.777214,0,2,Rabbit
0.01508331,0,2,NorthBlock
0.02375793,0,2,NorthBlock
0.01928711,0,2,NorthBlock
0.01894379,0,2,NorthBlock
0.01597595,0,2,SouthBlock
0.02498627,0,2,SouthBlock
0.01683807,0,2,SouthBlock
0.02468109,0,2,NorthBlock
0.01145935,0,2,NorthBlock
0.01925659,0,2,Rabbit
0.02150726,0,2,Rabbit
0.01359558,0,2,Rabbit
0.01963806,0,2,Rabbit
0.01934814,0,2,NorthBlock
0.02139282,0,2,Rabbit
0.0230484,0,2,Rabbit
0.02101135,0,2,Rabbit
0.2892303,0,2,Rabbit
0.3438492,0,2,NorthBlock
0.4878464,0,2,NorthBlock
0.4878464,0,2,Rabbit
0.9430542,0,2,Rabbit
0.9762344,0,2,NorthBlock
1.130943,0,2,NorthBlock
1.154343,0,2,Rabbit
1.356995,0,2,Rabbit
1.356995,0,2,NorthBlock
1.834122,0,2,NorthBlock
1.834122,0,2,Rabbit
2.933517,0,2,Rabbit
2.933517,0,2,NorthBlock
3.264404,0,2,NorthBlock
0.01985168,0,3,NorthBlock
0.02210236,0,3,NorthBlock
0.01928711,0,3,NorthBlock
0.01190948,0,3,NorthBlock
0.0333786,0,3,NorthBlock
0.01147461,0,3,Rabbit
0.02345276,0,3,Rabbit
0.02383423,0,3,Rabbit
0.02172852,0,3,Rabbit
0.02198792,0,3,NorthBlock
0.02342224,0,3,Rabbit
0.01399231,0,3,NorthBlock
0.01888275,0,3,Rabbit
0.02007294,0,3,Rabbit
0.01998901,0,3,Rabbit
0.02289581,0,3,Rabbit
0.0267334,0,3,Rabbit
0.02154541,0,3,Rabbit
0.0222168,0,3,Rabbit
