5/10/2022 5:33:31 PM
Time,Path,Invisibility,x_pos,y_pos,z_pos,target_x,target_y,target_z,target_visible
0.02161407,0,1,-3.030493,1.558362,-0.8277218,-4.039,0,3.6,True
0.1263466,0,1,-3.031982,1.558372,-0.8279448,-3.949022,0,3.591002,True
0.2447853,0,1,-3.033165,1.558102,-0.8283291,-3.862309,0,3.582331,True
0.3673668,0,1,-3.034793,1.557191,-0.8278134,-3.76555,0,3.572655,True
0.4801674,0,1,-3.035338,1.555682,-0.8269274,-3.667392,0,3.562839,True
0.5873184,0,1,-3.035489,1.554736,-0.8250899,-3.588573,0,3.554957,True
0.688488,0,1,-3.034164,1.553668,-0.8214653,-3.50708,0,3.546808,True
0.7982674,0,1,-3.029989,1.553223,-0.8134446,-3.420157,0,3.538116,True
0.9106407,0,1,-3.023619,1.552767,-0.8005812,-3.331782,0,3.529278,True
1.011887,0,1,-3.01752,1.550759,-0.788589,-3.249709,0,3.521071,True
1.113739,0,1,-3.011559,1.548986,-0.7776079,-3.163548,0,3.512455,True
1.233063,0,1,-3.002372,1.546722,-0.7626865,-3.073634,0,3.503463,True
1.343639,0,1,-2.989897,1.541603,-0.7468553,-2.98535,0,3.494635,True
1.464615,0,1,-2.968146,1.537588,-0.7246566,-2.891294,0,3.485229,True
1.564674,0,1,-2.932165,1.535222,-0.6965823,-2.808613,0,3.476961,True
1.678032,0,1,-2.860764,1.528334,-0.646857,-2.714114,0,3.467511,True
1.778065,0,1,-2.77869,1.511847,-0.5957596,-2.634555,0,3.459555,True
1.888775,0,1,-2.663713,1.494234,-0.5336554,-2.550948,0,3.451195,True
1.999523,0,1,-2.533406,1.503539,-0.4698443,-2.464665,0,3.442566,True
2.121704,0,1,-2.399457,1.527048,-0.3935976,-2.367846,0,3.432884,True
2.242977,0,1,-2.270397,1.548222,-0.305557,-2.271084,0,3.423208,True
2.356499,0,1,-2.150314,1.527001,-0.2141497,-2.181195,0,3.414219,True
2.466835,0,1,-2.028157,1.504343,-0.1059232,-2.094414,0,3.405541,True
2.578239,0,1,-1.905234,1.520038,0.01683258,-1.99744,0,3.395844,True
2.686512,0,1,-1.782635,1.540353,0.134981,-1.917255,0,3.387825,True
2.788937,0,1,-1.672043,1.552503,0.2418325,-1.836363,0,3.379736,True
2.890118,0,1,-1.560655,1.533588,0.351586,-1.749185,0,3.371018,True
2.998306,0,1,-1.433842,1.507192,0.4722726,-1.668842,0,3.362984,True
3.101421,0,1,-1.320402,1.50955,0.5826789,-1.581236,0,3.354223,True
3.209644,0,1,-1.202797,1.531963,0.7153964,-1.501115,0,3.346211,True
3.31031,0,1,-1.103254,1.535979,0.8356243,-1.419809,0,3.338081,True
3.410522,0,1,-1.004,1.515487,0.9618943,-1.342027,0,3.330302,True
3.521156,0,1,-0.8980327,1.49857,1.112476,-1.253998,0,3.3215,True
3.633327,0,1,-0.7980237,1.509818,1.259306,-1.165074,0,3.312607,True
3.753078,0,1,-0.6874628,1.52651,1.410638,-1.069026,0,3.303003,True
3.865154,0,1,-0.5861416,1.508052,1.544883,-0.9794308,0,3.294043,True
3.974915,0,1,-0.484304,1.487952,1.677407,-0.8908771,0,3.285188,True
4.075874,0,1,-0.3980417,1.483581,1.794463,-0.8127208,0,3.277372,True
4.198891,0,1,-0.3055243,1.497541,1.939496,-0.7150603,0,3.267606,True
4.311634,0,1,-0.2336407,1.498357,2.064462,-0.6260207,0,3.258702,True
4.431259,0,1,-0.1656928,1.47167,2.204336,-0.5276527,0,3.248865,True
4.542141,0,1,-0.1105938,1.451242,2.335907,-0.4396001,0,3.24006,True
4.656422,0,1,-0.06559658,1.458697,2.465751,-0.3437858,0,3.230479,True
4.777412,0,1,-0.01982641,1.470212,2.589535,-0.255715,0,3.221671,True
4.877716,0,1,0.01028061,1.480175,2.68024,-0.1651905,0,3.212619,True
4.986568,0,1,0.03753662,1.472062,2.774919,-0.08730441,0,3.20483,True
0.02147675,0,2,-3.053093,1.562507,-0.8985693,-4.039,0,3.6,True
0.1323357,0,2,-3.052466,1.562397,-0.8965964,-3.952863,0,3.591386,True
0.2331619,0,2,-3.05158,1.561449,-0.8939958,-3.872211,0,3.583321,True
0.3438873,0,2,-3.051042,1.560043,-0.8905158,-3.785279,0,3.574628,True
0.444191,0,2,-3.050058,1.55929,-0.8867986,-3.703731,0,3.566473,True
0.552742,0,2,-3.04927,1.557947,-0.8820662,-3.615043,0,3.557604,True
0.6633339,0,2,-3.04801,1.555842,-0.8775516,-3.528214,0,3.548921,True
0.7646866,0,2,-3.047302,1.554713,-0.8739076,-3.446833,0,3.540783,True
0.8741341,0,2,-3.04545,1.554161,-0.8692198,-3.360952,0,3.532195,True
0.974575,0,2,-3.043445,1.553809,-0.8634522,-3.279892,0,3.524089,True
1.085129,0,2,-3.039461,1.552612,-0.8550925,-3.190382,0,3.515138,True
1.186516,0,2,-3.033987,1.551623,-0.8459051,-3.110662,0,3.507166,True
1.297977,0,2,-3.026215,1.55013,-0.8326197,-3.024383,0,3.498538,True
1.398804,0,2,-3.016315,1.548639,-0.8130686,-2.941732,0,3.490273,True
1.510258,0,2,-2.990986,1.550984,-0.7705653,-2.853889,0,3.481489,True
1.621853,0,2,-2.929668,1.536457,-0.7011259,-2.757544,0,3.471854,True
1.742592,0,2,-2.829237,1.494993,-0.6070869,-2.668966,0,3.462996,True
1.864498,0,2,-2.698373,1.477037,-0.4955444,-2.573154,0,3.453415,True
1.966286,0,2,-2.586713,1.503227,-0.3947835,-2.492353,0,3.445335,True
2.075417,0,2,-2.472113,1.531119,-0.2923709,-2.404306,0,3.436531,True
2.175743,0,2,-2.361146,1.532533,-0.1999788,-2.323751,0,3.428475,True
2.287308,0,2,-2.223916,1.504312,-0.09273697,-2.235513,0,3.419651,True
2.409344,0,2,-2.066119,1.503264,0.03964637,-2.138849,0,3.409985,True
2.509922,0,2,-1.933686,1.522565,0.1489479,-2.057923,0,3.401892,True
2.610542,0,2,-1.801671,1.535801,0.2486521,-1.970432,0,3.393143,True
2.718014,0,2,-1.659595,1.53303,0.3633537,-1.891496,0,3.385249,True
2.81892,0,2,-1.545288,1.511266,0.4521701,-1.811466,0,3.377246,True
2.919052,0,2,-1.404544,1.504885,0.5644162,-1.731818,0,3.369282,True
3.030651,0,2,-1.274171,1.524735,0.6884203,-1.642657,0,3.360366,True
3.131458,0,2,-1.167203,1.535347,0.805657,-1.560988,0,3.352199,True
3.243729,0,2,-1.052273,1.511218,0.9417301,-1.467451,0,3.342845,True
3.362839,0,2,-0.9330797,1.491035,1.104011,-1.379489,0,3.334049,True
3.466053,0,2,-0.8397665,1.504185,1.241175,-1.289077,0,3.325008,True
3.575699,0,2,-0.7377086,1.521019,1.380009,-1.210162,0,3.317116,True
3.685314,0,2,-0.6365495,1.514223,1.521834,-1.122847,0,3.308385,True
3.80645,0,2,-0.522037,1.479814,1.678343,-1.025952,0,3.298695,True
3.907341,0,2,-0.4320521,1.466078,1.803075,-0.9459704,0,3.290697,False
4.019997,0,2,-0.3510828,1.479604,1.944496,-0.8575685,0,3.281857,False
4.130592,0,2,-0.2862678,1.494453,2.081383,-0.7673204,0,3.272832,False
4.230961,0,2,-0.2378998,1.484675,2.202238,-0.6880982,0,3.26491,False
4.342216,0,2,-0.1964526,1.465297,2.335426,-0.5923598,0,3.255336,False
4.452282,0,2,-0.1672964,1.473001,2.452717,-0.5109938,0,3.247199,False
4.563717,0,2,-0.1302819,1.489359,2.582359,-0.4237277,0,3.238473,False
4.685375,0,2,-0.09997654,1.493181,2.704428,-0.3274276,0,3.228843,False
4.785786,0,2,-0.07930613,1.475327,2.801358,-0.247422,0,3.220842,False
0.02052307,0,3,-3.004928,1.560346,-0.7613187,-4.039,0,3.6,True
0.1327057,0,3,-3.005503,1.560403,-0.7593205,-3.950659,0,3.591166,True
0.2333298,0,3,-3.00705,1.559918,-0.7564812,-3.863587,0,3.582458,True
0.3444977,0,3,-3.008679,1.559231,-0.7540071,-3.775671,0,3.573667,True
0.4630051,0,3,-3.009546,1.558252,-0.7495694,-3.686814,0,3.564781,True
0.5745239,0,3,-3.006719,1.555289,-0.7408094,-3.598424,0,3.555942,True
0.6855927,0,3,-2.997495,1.558353,-0.7229548,-3.510131,0,3.547113,True
0.7862396,0,3,-2.989153,1.562028,-0.7046251,-3.428374,0,3.538937,True
0.9108353,0,3,-2.981523,1.560638,-0.685328,-3.333814,0,3.529481,True
1.021942,0,3,-2.976416,1.557561,-0.6734066,-3.24577,0,3.520677,True
1.131538,0,3,-2.972777,1.554073,-0.6606336,-3.156852,0,3.511785,True
1.231812,0,3,-2.967147,1.551956,-0.6435862,-3.075884,0,3.503688,True
1.341499,0,3,-2.954292,1.544297,-0.6158562,-2.987956,0,3.494895,True
1.444008,0,3,-2.926648,1.53231,-0.573873,-2.898795,0,3.485979,True
1.553665,0,3,-2.86798,1.512151,-0.5045366,-2.820274,0,3.478127,True
1.655075,0,3,-2.788782,1.475874,-0.4247968,-2.7305,0,3.46915,True
1.75618,0,3,-2.687142,1.454741,-0.3439981,-2.650655,0,3.461165,True
1.86586,0,3,-2.562748,1.479336,-0.2473958,-2.562569,0,3.452357,True
1.975319,0,3,-2.445376,1.500691,-0.154449,-2.485754,0,3.444675,True
2.085808,0,3,-2.326598,1.514502,-0.04951288,-2.394152,0,3.435515,True
2.187241,0,3,-2.214232,1.499276,0.05833338,-2.314089,0,3.427509,True
2.308647,0,3,-2.074805,1.487613,0.2085501,-2.220294,0,3.418129,True
2.420181,0,3,-1.949776,1.51208,0.350441,-2.129985,0,3.409098,True
2.533638,0,3,-1.817885,1.534477,0.4788481,-2.042002,0,3.4003,True
2.6418,0,3,-1.68047,1.526346,0.6064069,-1.954341,0,3.391534,True
2.764542,0,3,-1.528525,1.498701,0.7378709,-1.856757,0,3.381776,True
2.866127,0,3,-1.406919,1.498045,0.844391,-1.76813,0,3.372913,True
2.985138,0,3,-1.275863,1.526598,0.9815497,-1.679965,0,3.364096,True
3.098572,0,3,-1.163186,1.525778,1.108995,-1.583304,0,3.35443,True
3.207497,0,3,-1.05245,1.49625,1.24042,-1.503149,0,3.346415,True
3.318748,0,3,-0.9461284,1.493149,1.38176,-1.414425,0,3.337543,True
3.419807,0,3,-0.8514299,1.514116,1.506607,-1.33367,0,3.329467,True
3.531593,0,3,-0.7467709,1.528851,1.633149,-1.247351,0,3.320835,True
3.643021,0,3,-0.6456814,1.506102,1.762448,-1.149384,0,3.311038,True
3.762596,0,3,-0.5373859,1.479392,1.897035,-1.061213,0,3.302221,True
3.875443,0,3,-0.4475822,1.472928,2.014839,-0.9726409,0,3.293364,False
3.985626,0,3,-0.3721237,1.485001,2.135161,-0.8842816,0,3.284528,False
4.0858,0,3,-0.3129368,1.484122,2.241328,-0.8050017,0,3.2766,False
4.197174,0,3,-0.256237,1.469682,2.364543,-0.7163205,0,3.267732,False
4.307297,0,3,-0.2127252,1.458209,2.487785,-0.6282162,0,3.258922,False
