5/13/2022 4:18:20 PM
Time,Path,Invisibility,x_pos,y_pos,z_pos,target_x,target_y,target_z,target_visible
0.01489258,0,1,-3.025193,1.500319,-2.764801,-3,0,3,True
0.01476288,0,1,-3.033684,1.488982,-2.752897,-3,0,3,True
0.01582336,0,1,-3.043777,1.479055,-2.741828,-3,0,3,True
0.01392365,0,1,-3.052027,1.476571,-2.733381,-3,0,3,True
0.0144043,0,1,-3.060752,1.478418,-2.724037,-3,0,3,True
0.01460266,0,1,-3.063485,1.480651,-2.715719,-3,0,3,True
0.01509094,0,1,-3.063173,1.480392,-2.701435,-3,0,3,True
0.01607513,0,1,-3.060188,1.477456,-2.674844,-3,0,3,True
0.02752686,0,1,-3.053992,1.479029,-2.64543,-3,0,3,True
0.01459503,0,1,-3.043093,1.472451,-2.606542,-3,0,3,True
0.0141983,0,1,-3.024934,1.458103,-2.545854,-3,0,3,True
0.01481628,0,1,-3.004219,1.451499,-2.481623,-3,0,3,True
0.01496124,0,1,-2.984021,1.446978,-2.421006,-3,0,3,True
0.0144577,0,1,-2.965624,1.451196,-2.364379,-3,0,3,True
0.01469421,0,1,-2.951737,1.467568,-2.308045,-3,0,3,True
0.02770233,0,1,-2.941821,1.481834,-2.254332,-3,0,3,True
0.01496124,0,1,-2.938175,1.482863,-2.205285,-3,0,3,True
0.0160675,0,1,-2.941093,1.480543,-2.143343,-3,0,3,True
0.1122284,0,1,-2.952663,1.47921,-2.067638,-2.923374,0,2.992337,True
0.2161407,0,1,-2.963404,1.492785,-1.996959,-2.839788,0,2.983979,True
0.3227539,0,1,-2.967902,1.502567,-1.92649,-2.754951,0,2.975495,True
0.429512,0,1,-2.965164,1.50551,-1.854985,-2.670096,0,2.96701,True
0.5375366,0,1,-2.959227,1.506402,-1.786624,-2.58102,0,2.958102,True
0.6407318,0,1,-2.948283,1.499962,-1.711796,-2.50154,0,2.950154,True
0.7465515,0,1,-2.928523,1.488881,-1.63585,-2.418076,0,2.941808,True
0.852478,0,1,-2.904196,1.495844,-1.559135,-2.33432,0,2.933432,True
0.9590225,0,1,-2.885992,1.507008,-1.481878,-2.248238,0,2.924824,True
1.074814,0,1,-2.870018,1.51643,-1.401972,-2.157067,0,2.915707,True
1.183029,0,1,-2.85086,1.516936,-1.322366,-2.072455,0,2.907245,True
1.287674,0,1,-2.83214,1.505219,-1.258345,-1.986853,0,2.898685,True
1.396263,0,1,-2.807049,1.50534,-1.181605,-1.901074,0,2.890107,True
1.502151,0,1,-2.749227,1.512931,-1.099241,-1.81659,0,2.881659,True
1.609009,0,1,-2.676522,1.502593,-1.033268,-1.731382,0,2.873138,True
1.713257,0,1,-2.585994,1.474628,-0.9709753,-1.647693,0,2.864769,True
1.818047,0,1,-2.483343,1.45947,-0.9157447,-1.564824,0,2.856483,True
1.922806,0,1,-2.361222,1.466962,-0.8565449,-1.480965,0,2.848097,True
2.029205,0,1,-2.252681,1.493219,-0.799944,-1.396875,0,2.839688,True
