Time, Path, Visible, Target
14.93891,0,1,Rabbit
15.27324,0,1,NorthBlock
15.95363,0,1,NorthBlock
16.19662,0,1,NorthBlock
16.3976,0,1,Rabbit
16.57403,0,1,Rabbit
16.77192,0,1,NorthBlock
17.41787,0,1,NorthBlock
17.76198,0,1,Rabbit
19.06182,0,1,NorthBlock
19.31619,0,1,NorthBlock
19.31619,0,1,SouthBlock
19.76941,0,1,SouthBlock
19.95014,0,1,NorthBlock
20.11504,0,1,NorthBlock
20.22951,0,1,Rabbit
21.0032,0,1,Rabbit
21.18136,0,1,Rabbit
22.57988,0,1,Rabbit
22.7798,0,1,Rabbit
23.62718,0,1,Rabbit
24.03691,0,1,Rabbit
26.76772,0,1,Rabbit
27.63518,0,1,Rabbit
28.12246,0,1,Rabbit
28.79026,0,1,Rabbit
29.06732,0,1,Rabbit
29.57928,0,1,Rabbit
29.85558,0,1,Rabbit
31.03295,0,1,Rabbit
31.25431,0,1,Rabbit
31.36723,0,1,NorthBlock
31.53321,0,1,NorthBlock
32.81087,0,1,NorthBlock
33.02103,0,1,NorthBlock
33.26494,0,1,NorthBlock
33.63186,0,1,Rabbit
33.79015,0,1,Rabbit
34.4963,0,1,Rabbit
34.79778,0,1,Rabbit
35.39809,0,1,NorthBlock
35.73182,0,1,NorthBlock
37.06527,0,1,Rabbit
37.32023,0,1,Rabbit
37.47637,0,1,Rabbit
37.6637,0,1,NorthBlock
38.04081,0,1,NorthBlock
38.25082,0,1,NorthBlock
41.37369,0,1,Rabbit
41.57142,0,1,Rabbit
41.7951,0,1,Rabbit
0.05773163,0,1,Rabbit
0.4230118,0,1,Rabbit
1.168224,0,1,Rabbit
1.734081,0,1,Rabbit
1.746265,0,1,NorthBlock
1.954334,0,1,NorthBlock
1.954334,0,1,Rabbit
2.333839,0,1,NorthBlock
2.333839,0,1,Rabbit
2.829159,0,1,NorthBlock
2.829159,0,1,Rabbit
3.065086,0,1,Rabbit
3.087528,0,1,NorthBlock
3.610325,0,1,NorthBlock
3.633327,0,1,Rabbit
3.865154,0,1,NorthBlock
3.865154,0,1,Rabbit
4.287502,0,1,NorthBlock
5.387699,0,2,NorthBlock
5.402954,0,2,Rabbit
5.765957,0,2,Rabbit
10.62653,0,2,Rabbit
11.40621,0,2,NorthBlock
12.1388,0,2,NorthBlock
12.52775,0,2,Rabbit
13.03962,0,2,Rabbit
0.2331619,0,2,Rabbit
0.974575,0,2,Rabbit
1.699432,0,2,Rabbit
1.699432,0,2,NorthBlock
1.898453,0,2,NorthBlock
1.986851,0,2,Rabbit
2.240963,0,2,NorthBlock
2.452358,0,2,NorthBlock
2.467258,0,2,Rabbit
2.632408,0,2,Rabbit
2.676949,0,2,NorthBlock
3.174351,0,2,NorthBlock
3.199352,0,2,Rabbit
3.362839,0,2,Rabbit
3.362839,0,2,NorthBlock
3.53146,0,2,Rabbit
3.53146,0,2,NorthBlock
3.685314,0,2,NorthBlock
3.685314,0,2,Rabbit
4.095768,0,2,Rabbit
4.095768,0,2,NorthBlock
4.308018,0,2,Rabbit
4.308018,0,2,NorthBlock
5.007004,0,3,NorthBlock
5.494274,0,3,Rabbit
5.685081,0,3,Rabbit
9.527287,0,3,Rabbit
10.50525,0,3,NorthBlock
10.82901,0,3,Rabbit
11.80568,0,3,Rabbit
11.99196,0,3,Rabbit
0.2333298,0,3,Rabbit
0.5987625,0,3,Rabbit
1.707878,0,3,NorthBlock
1.721642,0,3,Rabbit
2.085808,0,3,Rabbit
2.085808,0,3,NorthBlock
2.39817,0,3,Rabbit
2.39817,0,3,NorthBlock
2.554291,0,3,Rabbit
2.66497,0,3,NorthBlock
3.119995,0,3,NorthBlock
3.119995,0,3,Rabbit
3.506966,0,3,Rabbit
3.506966,0,3,NorthBlock
3.908554,0,3,Rabbit
3.908554,0,3,NorthBlock
4.197174,0,3,NorthBlock
4.197174,0,3,Rabbit
4.907768,1,2,NorthBlock
5.174126,1,2,Rabbit
5.817024,1,2,Rabbit
1.233414,1,2,Rabbit
1.455101,1,2,Rabbit
1.576904,1,2,NorthBlock
1.766922,1,2,NorthBlock
1.845154,1,2,Rabbit
2.009804,1,2,Rabbit
2.009804,1,2,NorthBlock
2.33136,1,2,NorthBlock
2.33136,1,2,Rabbit
2.722336,1,2,Rabbit
2.745186,1,2,NorthBlock
2.877594,1,2,Rabbit
2.89817,1,2,NorthBlock
3.042969,1,2,Rabbit
3.057152,1,2,NorthBlock
3.410484,1,2,NorthBlock
3.410484,1,2,Rabbit
4.065872,2,1,Rabbit
4.442657,2,1,NorthBlock
4.641998,2,1,Rabbit
4.978455,2,1,Rabbit
5.864098,2,1,Rabbit
6.330612,2,1,Rabbit
9.38549,2,1,Rabbit
9.531036,2,1,Rabbit
9.719215,2,1,Rabbit
11.00657,2,1,Rabbit
11.69531,2,1,Rabbit
11.94171,2,1,Rabbit
12.13004,2,1,Rabbit
0.08796692,2,1,Rabbit
1.600655,2,1,NorthBlock
1.85228,2,1,NorthBlock
2.066231,2,1,NorthBlock
2.599434,2,1,NorthBlock
2.599434,2,1,Rabbit
2.899338,2,1,Rabbit
2.899338,2,1,NorthBlock
3.309036,2,1,NorthBlock
3.309036,2,1,Rabbit
3.743729,1,2,Rabbit
3.965141,1,2,NorthBlock
4.276093,1,2,NorthBlock
4.330795,1,2,Rabbit
4.610176,1,2,Rabbit
6.097107,1,2,Rabbit
6.252365,1,2,Rabbit
6.632072,1,2,Rabbit
12.13648,1,2,NorthBlock
12.49549,1,2,NorthBlock
13.18362,1,2,Rabbit
13.47122,1,2,Rabbit
13.62521,1,2,NorthBlock
13.93684,1,2,NorthBlock
14.26009,1,2,Rabbit
14.68048,1,2,Rabbit
1.109726,1,2,Rabbit
1.289635,1,2,Rabbit
1.688393,1,2,Rabbit
1.688393,1,2,NorthBlock
1.890137,1,2,NorthBlock
1.91291,1,2,Rabbit
2.043304,1,2,NorthBlock
2.478661,1,2,NorthBlock
2.478661,1,2,Rabbit
2.998734,1,2,Rabbit
3.011856,1,2,NorthBlock
3.166107,1,2,NorthBlock
3.698906,1,2,NorthBlock
3.698906,1,2,Rabbit
4.366249,1,2,Rabbit
4.630524,2,1,Rabbit
4.921265,2,1,NorthBlock
5.27697,2,1,Rabbit
5.609352,2,1,Rabbit
6.018211,2,1,Rabbit
10.70448,2,1,Rabbit
11.54951,2,1,Rabbit
1.253693,2,1,Rabbit
1.997444,2,1,NorthBlock
2.087914,2,1,Rabbit
2.211327,2,1,NorthBlock
3.598625,2,1,NorthBlock
3.598625,2,1,Rabbit
4.097649,2,1,Rabbit
4.396233,2,1,Rabbit
1.097649,2,2,Rabbit
1.510445,2,2,NorthBlock
2.009109,2,2,NorthBlock
2.730766,2,2,Rabbit
0.377655,2,2,Rabbit
0.6762543,2,2,Rabbit
1.154129,2,2,Rabbit
1.499435,2,2,NorthBlock
1.590515,2,2,Rabbit
1.988968,2,2,Rabbit
1.988968,2,2,NorthBlock
2.233078,2,2,Rabbit
2.233078,2,2,NorthBlock
2.479263,2,2,Rabbit
2.479263,2,2,NorthBlock
3.121002,2,2,NorthBlock
3.121002,2,2,Rabbit
3.278152,2,2,NorthBlock
3.278152,2,2,Rabbit
3.844162,2,2,Rabbit
4.019897,2,2,NorthBlock
4.22171,2,2,NorthBlock
0.05467224,2,2,NorthBlock
0.08015442,2,2,Rabbit
0.8004456,2,2,Rabbit
0.9133606,2,2,NorthBlock
1.087769,2,2,NorthBlock
1.312927,2,2,NorthBlock
2.37886,2,2,NorthBlock
2.37886,2,2,Rabbit
3.733932,2,2,NorthBlock
3.733932,2,2,Rabbit
0.2523651,2,3,Rabbit
0.2523651,2,3,NorthBlock
0.5961914,2,3,NorthBlock
1.152435,2,3,NorthBlock
1.32811,2,3,NorthBlock
1.674088,2,3,NorthBlock
1.674088,2,3,Rabbit
2.073364,2,3,Rabbit
2.229675,2,3,Rabbit
0.4757996,2,3,Rabbit
0.6429443,2,3,Rabbit
1.311401,2,3,Rabbit
1.564545,2,3,Rabbit
1.788437,2,3,Rabbit
1.966904,2,3,Rabbit
2.06723,2,3,NorthBlock
2.309662,2,3,NorthBlock
2.309662,2,3,Rabbit
2.564911,2,3,NorthBlock
2.564911,2,3,Rabbit
2.875198,2,3,Rabbit
2.875198,2,3,NorthBlock
3.27713,2,3,NorthBlock
3.27713,2,3,Rabbit
3.476227,2,3,NorthBlock
3.533203,2,3,Rabbit
3.908356,2,3,Rabbit
4.132248,2,3,Rabbit
4.398743,2,3,Rabbit
0.5554352,2,3,Rabbit
0.5554352,2,3,NorthBlock
1.641174,1,3,NorthBlock
1.843292,1,3,NorthBlock
2.388489,1,3,Rabbit
8.629425,1,3,NorthBlock
0.5903168,1,3,Rabbit
0.8227386,1,3,Rabbit
1.400345,1,3,Rabbit
1.87619,1,3,NorthBlock
2.044464,1,3,NorthBlock
2.068832,1,3,Rabbit
2.20874,1,3,Rabbit
2.231812,1,3,NorthBlock
2.700241,1,3,NorthBlock
2.700241,1,3,Rabbit
2.909576,1,3,Rabbit
2.909576,1,3,NorthBlock
3.342819,1,3,NorthBlock
3.342819,1,3,Rabbit
3.978867,1,3,Rabbit
4.398834,1,3,Rabbit
4.843552,1,1,NorthBlock
5.145035,1,1,NorthBlock
5.32373,1,1,NorthBlock
6.209167,1,1,NorthBlock
6.353226,1,1,NorthBlock
9.962753,1,1,Rabbit
10.52925,1,1,Rabbit
11.17258,1,1,Rabbit
11.37132,1,1,Rabbit
12.25092,1,1,NorthBlock
12.46114,1,1,NorthBlock
0.4112854,1,1,Rabbit
0.7007294,1,1,Rabbit
0.8764496,1,1,Rabbit
1.312363,1,1,Rabbit
1.400604,1,1,NorthBlock
1.501129,1,1,Rabbit
1.709946,1,1,Rabbit
1.93454,1,1,Rabbit
1.93454,1,1,NorthBlock
2.091995,1,1,Rabbit
2.276352,1,1,Rabbit
2.312485,1,1,NorthBlock
3.367401,1,1,NorthBlock
3.367401,1,1,Rabbit
3.922134,1,1,NorthBlock
3.936234,1,1,Rabbit
4.443344,1,1,Rabbit
5.38826,2,2,NorthBlock
5.729996,2,2,NorthBlock
11.11934,2,2,Rabbit
12.32709,2,2,Rabbit
0.07533264,2,2,NorthBlock
1.118622,2,2,Rabbit
1.261993,2,2,Rabbit
1.45192,2,2,Rabbit
1.916656,2,2,Rabbit
2.162399,2,2,NorthBlock
2.405289,2,2,NorthBlock
2.405289,2,2,Rabbit
2.870728,2,2,Rabbit
3.005676,2,2,NorthBlock
3.518509,2,2,NorthBlock
3.518509,2,2,Rabbit
3.752106,2,2,NorthBlock
3.851944,2,2,Rabbit
0.4669495,2,2,Rabbit
0.5321808,2,2,NorthBlock
1.55249,1,3,NorthBlock
1.824097,1,3,Rabbit
0.8321228,1,3,Rabbit
1.051849,1,3,Rabbit
1.208755,1,3,Rabbit
1.519821,1,3,Rabbit
1.984879,1,3,NorthBlock
3.539597,1,3,NorthBlock
3.539597,1,3,Rabbit
3.998901,1,3,Rabbit
4.31778,1,3,Rabbit
4.939529,2,3,NorthBlock
5.419571,2,3,NorthBlock
5.749664,2,3,NorthBlock
13.95564,2,3,Rabbit
14.12202,2,3,Rabbit
0.312088,2,3,Rabbit
0.4783783,2,3,Rabbit
0.9435883,2,3,Rabbit
1.257355,2,3,Rabbit
1.557938,2,3,Rabbit
1.557938,2,3,NorthBlock
2.909302,2,3,NorthBlock
2.909302,2,3,Rabbit
3.598587,2,3,Rabbit
3.955124,2,3,NorthBlock
4.06691,2,3,Rabbit
4.345764,1,1,Rabbit
4.833633,1,1,NorthBlock
5.144012,1,1,NorthBlock
5.465485,1,1,Rabbit
11.53032,1,1,Rabbit
11.80594,1,1,Rabbit
12.12737,1,1,Rabbit
0.1025543,1,1,Rabbit
0.3034668,1,1,Rabbit
0.4900818,1,1,Rabbit
1.20076,1,1,Rabbit
1.77803,1,1,Rabbit
2.058868,1,1,NorthBlock
2.222382,1,1,NorthBlock
2.267593,1,1,Rabbit
2.431976,1,1,Rabbit
2.431976,1,1,NorthBlock
2.713913,1,1,NorthBlock
2.713913,1,1,Rabbit
3.189926,1,1,Rabbit
3.189926,1,1,NorthBlock
3.711304,1,1,NorthBlock
3.711304,1,1,Rabbit
3.877289,1,1,Rabbit
3.891418,1,1,NorthBlock
4.444855,1,1,Rabbit
4.444855,1,1,NorthBlock
