4/12/2022 6:12:27 PM
Time,Path,Invisibility,x_pos,y_pos,z_pos,target_x,target_y,target_z,target_visible
0.02069092,0,1,-2.927608,1.622108,-0.8404471,-4.039,0,3.6,True
0.1392059,0,1,-2.928462,1.622384,-0.8392464,-3.945691,0,3.590669,True
0.2406616,0,1,-2.930057,1.623255,-0.837258,-3.862962,0,3.582396,True
0.351944,0,1,-2.930988,1.623162,-0.8356305,-3.775216,0,3.573622,True
0.4635162,0,1,-2.93157,1.624346,-0.8341786,-3.685915,0,3.564691,True
0.5662079,0,1,-2.930059,1.624755,-0.8326031,-3.597452,0,3.555845,True
0.6766205,0,1,-2.927007,1.62476,-0.8335181,-3.509099,0,3.54701,True
0.7853699,0,1,-2.925796,1.62659,-0.8349448,-3.431641,0,3.539264,True
0.885498,0,1,-2.926075,1.627442,-0.8360993,-3.350102,0,3.53111,True
0.9978027,0,1,-2.927757,1.628754,-0.8360778,-3.262866,0,3.522387,True
1.109451,0,1,-2.930568,1.627581,-0.836774,-3.165925,0,3.512692,True
1.221359,0,1,-2.934659,1.627551,-0.8348056,-3.078629,0,3.503963,True
1.340027,0,1,-2.936527,1.627319,-0.829352,-2.987992,0,3.494899,True
1.442871,0,1,-2.93259,1.627417,-0.8225929,-2.899238,0,3.486024,True
1.554138,0,1,-2.920807,1.624653,-0.8161789,-2.812536,0,3.477354,True
1.65509,0,1,-2.902062,1.623842,-0.8108236,-2.730876,0,3.469187,True
1.764496,0,1,-2.874053,1.623717,-0.805617,-2.652058,0,3.461306,True
1.874771,0,1,-2.842647,1.623463,-0.7978841,-2.565211,0,3.452621,True
1.976273,0,1,-2.812438,1.624159,-0.788673,-2.486052,0,3.444705,True
2.084274,0,1,-2.782055,1.624937,-0.7723452,-2.396824,0,3.435782,True
2.185867,0,1,-2.758011,1.626638,-0.751453,-2.31667,0,3.427767,True
2.28688,0,1,-2.737659,1.627248,-0.7242323,-2.237609,0,3.419861,True
2.388229,0,1,-2.720772,1.624001,-0.6903163,-2.149972,0,3.411097,True
2.494797,0,1,-2.71067,1.615458,-0.647679,-2.07017,0,3.403117,True
2.60881,0,1,-2.707692,1.616541,-0.5999333,-1.980906,0,3.394191,True
2.727554,0,1,-2.701043,1.62522,-0.552622,-1.883029,0,3.384403,True
2.8405,0,1,-2.690617,1.627567,-0.5083991,-1.795405,0,3.37564,True
2.951035,0,1,-2.675354,1.627944,-0.4737273,-1.70693,0,3.366793,True
3.053436,0,1,-2.65737,1.631184,-0.4453403,-1.618893,0,3.357989,True
3.172958,0,1,-2.625964,1.629378,-0.4095403,-1.530467,0,3.349147,True
3.284897,0,1,-2.584855,1.622775,-0.3768855,-1.441251,0,3.340225,True
3.40831,0,1,-2.52609,1.611068,-0.3476888,-1.345828,0,3.330683,True
3.517456,0,1,-2.462435,1.613873,-0.3266474,-1.25603,0,3.321703,True
3.617554,0,1,-2.400465,1.630258,-0.3081137,-1.179094,0,3.314009,True
3.731552,0,1,-2.334816,1.644229,-0.2884637,-1.080659,0,3.304166,True
3.850586,0,1,-2.271999,1.647122,-0.2579829,-0.9909942,0,3.295199,True
3.962509,0,1,-2.220092,1.647918,-0.2235762,-0.9007947,0,3.286179,True
4.063339,0,1,-2.175238,1.644983,-0.1868717,-0.8209439,0,3.278194,True
4.183655,0,1,-2.124463,1.632877,-0.1324636,-0.725983,0,3.268698,True
4.285828,0,1,-2.090672,1.620414,-0.07836308,-0.6373503,0,3.259835,True
4.386505,0,1,-2.060903,1.625599,-0.02348723,-0.5568436,0,3.251784,True
4.50618,0,1,-2.021487,1.644647,0.03288685,-0.4711505,0,3.243215,True
4.617096,0,1,-1.97503,1.652556,0.07709347,-0.3808537,0,3.234185,True
4.726181,0,1,-1.927199,1.654325,0.1142257,-0.291055,0,3.225205,True
4.841797,0,1,-1.855152,1.644702,0.1612753,-0.203382,0,3.216438,True
4.952881,0,1,-1.774874,1.625221,0.1965927,-0.1061375,0,3.206714,True
5.063934,0,1,-1.687971,1.621555,0.2230028,-0.01823363,0,3.197923,True
5.183975,0,1,-1.598506,1.640823,0.247826,0.07128571,0,3.188971,True
5.307114,0,1,-1.526947,1.648209,0.2807754,0.1665503,0,3.179445,True
5.427826,0,1,-1.467319,1.652904,0.3192247,0.2643535,0,3.169665,True
5.529755,0,1,-1.420373,1.648466,0.3552712,0.3521481,0,3.160885,True
5.638885,0,1,-1.373406,1.635017,0.3990029,0.4317073,0,3.152929,True
5.741348,0,1,-1.339367,1.624533,0.444754,0.5205464,0,3.144045,True
5.850113,0,1,-1.302728,1.633647,0.4931439,0.602207,0,3.135879,True
5.972397,0,1,-1.255969,1.644741,0.5375866,0.697168,0,3.126383,True
6.086044,0,1,-1.209812,1.646135,0.5679668,0.7946311,0,3.116637,True
6.194489,0,1,-1.155367,1.651161,0.5909756,0.8747369,0,3.108626,True
6.304321,0,1,-1.092595,1.643799,0.6137298,0.9618877,0,3.099911,True
6.404922,0,1,-1.027097,1.635592,0.6282161,1.041981,0,3.091902,True
6.514481,0,1,-0.9521856,1.629975,0.6347727,1.129958,0,3.083104,True
6.616516,0,1,-0.8661866,1.634332,0.6435503,1.209214,0,3.075179,True
6.727905,0,1,-0.7813463,1.647581,0.6584562,1.299158,0,3.066184,True
6.838821,0,1,-0.7011194,1.64706,0.6817459,1.387463,0,3.057353,True
6.949295,0,1,-0.6239839,1.644834,0.7115844,1.47499,0,3.048601,True
7.051361,0,1,-0.5548396,1.631538,0.7457441,1.564157,0,3.039684,True
7.171814,0,1,-0.4716349,1.613287,0.7985343,1.65143,0,3.030957,True
7.272079,0,1,-0.4056802,1.612372,0.8429316,1.733357,0,3.022764,True
7.373947,0,1,-0.3427,1.618159,0.8803133,1.820945,0,3.014005,True
7.480331,0,1,-0.2794271,1.621535,0.9109453,1.898768,0,3.006223,True
7.581894,0,1,-0.2056699,1.623166,0.9371589,1.97976,0,2.998124,True
7.684052,0,1,-0.1311312,1.615962,0.9544553,2.067081,0,2.989392,True
