4/13/2022 8:37:20 AM
Time,Path,Invisibility,x_pos,y_pos,z_pos,target_x,target_y,target_z,target_visible
0.01150513,0,1,-2.97093,1.579833,-0.6690251,-4.039,0,3.6,True
0.1209106,0,1,-2.971604,1.579976,-0.6664015,-3.959368,0,3.592037,True
0.2568054,0,1,-2.97114,1.579032,-0.6661741,-3.8638,0,3.58248,True
0.3659363,0,1,-2.971123,1.578955,-0.6643473,-3.757907,0,3.571891,True
0.466217,0,1,-2.970489,1.578701,-0.6612474,-3.678663,0,3.563966,True
0.5845947,0,1,-2.968419,1.577243,-0.6556865,-3.588391,0,3.554939,True
0.6853027,0,1,-2.967097,1.575249,-0.6489569,-3.511285,0,3.547228,True
0.8085022,0,1,-2.966472,1.572572,-0.6407768,-3.414551,0,3.537555,True
0.9223022,0,1,-2.966603,1.569535,-0.631898,-3.316505,0,3.52775,True
1.029877,0,1,-2.966939,1.565657,-0.6243473,-3.234662,0,3.519566,True
1.133209,0,1,-2.966666,1.563721,-0.6179897,-3.148422,0,3.510942,True
1.241699,0,1,-2.965695,1.563352,-0.6064421,-3.069106,0,3.503011,True
1.365234,0,1,-2.955137,1.557366,-0.5827152,-2.971376,0,3.493237,True
1.466614,0,1,-2.934463,1.54962,-0.5548269,-2.89065,0,3.485165,True
1.575867,0,1,-2.900481,1.544041,-0.5116841,-2.803123,0,3.476412,True
1.697174,0,1,-2.844882,1.532295,-0.4624192,-2.705077,0,3.466608,True
1.800446,0,1,-2.786462,1.534835,-0.4216353,-2.618303,0,3.45793,True
1.908051,0,1,-2.715681,1.554141,-0.374014,-2.537432,0,3.449843,True
2.019012,0,1,-2.646121,1.564132,-0.3323566,-2.447621,0,3.440862,True
2.12088,0,1,-2.593633,1.559395,-0.2904125,-2.360871,0,3.432187,True
2.232544,0,1,-2.545334,1.554251,-0.2384197,-2.272056,0,3.423306,True
2.34137,0,1,-2.49559,1.546897,-0.1810028,-2.190529,0,3.415153,True
2.451202,0,1,-2.445818,1.532235,-0.1221806,-2.102759,0,3.406376,True
2.561829,0,1,-2.385382,1.517294,-0.03659929,-2.017223,0,3.397822,True
2.665497,0,1,-2.323554,1.521963,0.0665897,-1.926149,0,3.388715,True
2.774017,0,1,-2.261508,1.55512,0.1770938,-1.847149,0,3.380815,True
2.884552,0,1,-2.203701,1.562366,0.2680992,-1.760715,0,3.372171,True
2.998199,0,1,-2.141156,1.552907,0.3596238,-1.669713,0,3.363071,True
3.118195,0,1,-2.058467,1.526117,0.4621614,-1.574801,0,3.35358,True
3.219604,0,1,-1.966767,1.524345,0.5558151,-1.492667,0,3.345366,True
3.351196,0,1,-1.830704,1.551379,0.6968483,-1.397439,0,3.335844,True
3.452087,0,1,-1.735131,1.561142,0.8078817,-1.309911,0,3.327091,True
3.563202,0,1,-1.632988,1.546059,0.9379987,-1.221898,0,3.31829,True
3.66449,0,1,-1.542026,1.523811,1.05877,-1.140784,0,3.310178,True
3.783295,0,1,-1.430595,1.518689,1.208395,-1.044463,0,3.300546,True
3.885254,0,1,-1.320949,1.487343,1.361076,-0.9619642,0,3.292296,True
3.996246,0,1,-1.226942,1.514921,1.468961,-0.8758216,0,3.283682,True
4.107605,0,1,-1.138655,1.50797,1.574882,-0.7851119,0,3.274611,True
4.218384,0,1,-1.050119,1.47178,1.681761,-0.6971716,0,3.265817,True
