Time, Path, Visible, Target
0.01896286,0,1,Rabbit
0.02031326,0,1,Rabbit
0.01097107,0,1,Rabbit
0.01982021,0,1,Rabbit
0.02101326,0,1,Rabbit
0.02403164,0,1,Rabbit
0.02403164,0,1,NorthBlock
0.02147675,0,1,NorthBlock
0.02147675,0,1,Rabbit
0.02134895,0,1,NorthBlock
0.02248669,0,1,Rabbit
0.3113251,0,1,Rabbit
0.3550186,0,1,NorthBlock
0.9427776,0,1,NorthBlock
0.9427776,0,1,Rabbit
1.763933,0,1,Rabbit
1.763933,0,1,NorthBlock
2.077965,0,1,Rabbit
2.077965,0,1,NorthBlock
2.242449,0,1,Rabbit
2.242449,0,1,NorthBlock
2.720922,0,1,NorthBlock
3.120575,0,1,NorthBlock
3.120575,0,1,Rabbit
3.785147,0,1,Rabbit
3.785147,0,1,NorthBlock
4.563831,0,2,Rabbit
0.02255249,0,2,NorthBlock
0.01058388,0,2,NorthBlock
0.01058388,0,2,Rabbit
0.01265717,0,2,Rabbit
0.0140686,0,2,Rabbit
0.02005005,0,2,Rabbit
0.02093506,0,2,NorthBlock
0.02478981,0,2,NorthBlock
0.01218033,0,2,NorthBlock
0.0224781,0,2,NorthBlock
0.0214386,0,2,NorthBlock
0.07704544,0,2,NorthBlock
0.243927,0,2,NorthBlock
0.7416954,0,2,NorthBlock
0.7416954,0,2,Rabbit
0.9771881,0,2,Rabbit
0.9771881,0,2,NorthBlock
1.130066,0,2,NorthBlock
1.130066,0,2,Rabbit
1.575684,0,2,Rabbit
1.575684,0,2,NorthBlock
2.044548,0,2,Rabbit
2.962624,0,2,Rabbit
3.198807,0,2,Rabbit
3.597168,0,2,NorthBlock
3.653046,0,2,Rabbit
3.918034,0,2,NorthBlock
4.451859,0,2,NorthBlock
4.517773,0,2,Rabbit
0.02116013,0,3,NorthBlock
0.02116013,0,3,Rabbit
0.02162552,0,3,Rabbit
0.02356339,0,3,Rabbit
0.02011108,0,3,Rabbit
0.0201149,0,3,Rabbit
0.01953506,0,3,Rabbit
0.01534271,0,3,Rabbit
0.0193367,0,3,Rabbit
0.4229431,0,3,NorthBlock
0.59618,0,3,NorthBlock
0.59618,0,3,Rabbit
1.123001,0,3,Rabbit
1.157619,0,3,NorthBlock
2.796814,0,3,NorthBlock
2.796814,0,3,Rabbit
3.020897,0,3,NorthBlock
0.02223969,2,3,NorthBlock
0.02198029,2,3,NorthBlock
0.02187729,2,3,NorthBlock
0.01984406,2,3,Rabbit
0.01171875,2,3,Rabbit
0.0266037,2,3,Rabbit
0.02187347,2,3,Rabbit
0.01880646,2,3,Rabbit
0.01247406,2,3,Rabbit
0.01425171,2,3,Rabbit
0.01931763,2,3,Rabbit
0.02289581,2,3,Rabbit
0.01450348,2,3,Rabbit
0.01174164,2,3,Rabbit
0.02265167,2,3,Rabbit
0.01320648,2,3,Rabbit
0.02484894,2,3,Rabbit
0.01470184,2,3,Rabbit
0.1008682,2,3,Rabbit
0.2592392,2,3,Rabbit
0.4569473,2,3,NorthBlock
0.868988,2,3,NorthBlock
0.8915405,2,3,Rabbit
1.73391,2,3,Rabbit
2.090584,2,3,Rabbit
2.378639,2,3,Rabbit
0.4435883,2,3,Rabbit
1.066643,2,3,Rabbit
1.254303,2,3,NorthBlock
1.609482,2,3,NorthBlock
2.28791,2,3,NorthBlock
3.086578,2,3,SouthBlock
1.853226,2,3,SouthBlock
2.055161,2,3,NorthBlock
2.243774,2,3,NorthBlock
2.243774,2,3,Rabbit
2.722458,2,3,NorthBlock
2.977104,2,3,NorthBlock
0.02104187,1,2,NorthBlock
0.01457214,1,2,NorthBlock
0.01457214,1,2,Rabbit
0.02262115,1,2,Rabbit
0.0210495,1,2,Rabbit
0.02105713,1,2,Rabbit
0.02006531,1,2,Rabbit
0.01242065,1,2,Rabbit
0.02172852,1,2,Rabbit
0.01209259,1,2,NorthBlock
0.01290131,1,2,NorthBlock
0.01195526,1,2,Rabbit
0.03349304,1,2,Rabbit
0.4778137,1,2,NorthBlock
0.7773438,1,2,NorthBlock
